school;Mjob;G1;G2;Decision
MS;2;17;18;
MS;2;12;13;
MS;2;13;14;
MS;2;9;9;
MS;2;11;11;
MS;3;10;11;
MS;2;13;14;
MS;2;9;10;
MS;2;7;9;
MS;2;8;13;
MS;3;12;12;
MS;2;10;9;
MS;3;10;9;
MS;2;11;13;
MS;2;7;0;
MS;5;11;9;
MS;3;10;10;
MS;5;9;7;
MS;5;4;0;
MS;3;6;11;
MS;3;4;8;
MS;5;7;8;
MS;3;8;9;
MS;5;5;5;
MS;2;7;9;
MS;2;8;11;
MS;5;10;11;
MS;2;9;10;
MS;2;10;9;
MS;4;8;9;
MS;3;9;10;
MS;2;8;9;
MS;3;6;8;
MS;3;6;8;
MS;2;8;6;
MS;3;10;11;
MS;2;8;7;
MS;1;8;8;
MS;5;7;6;
MS;4;8;10;
MS;3;7;10;
MS;2;7;8;
MS;5;12;13;
MS;5;11;12;
MS;3;12;13;
MS;1;18;18;
MS;5;17;17;
MS;2;17;18;
MS;3;9;0;
MS;3;10;11;
MS;3;12;13;
MS;2;12;13;
MS;2;8;8;
MS;5;11;12;
MS;1;5;0;
MS;3;9;10;
MS;3;5;0;
MS;1;18;18;
MS;5;11;11;
MS;3;8;10;
MS;3;11;11;
MS;3;8;0;
MS;5;14;14;
MS;5;10;11;
MS;5;10;10;
MS;1;12;12;
MS;5;15;14;
MS;2;14;13;
MS;3;19;17;
MS;3;16;15;
MS;5;13;12;
MS;3;15;14;
MS;2;13;13;
MS;3;8;10;
MS;1;15;16;
MS;2;8;8;
MS;3;10;10;
MS;2;7;5;
MS;3;9;10;
MS;2;10;11;
MS;2;7;8;
MS;2;15;17;
MS;2;10;11;
MS;3;7;8;
MS;1;13;14;
MS;2;16;16;
MS;3;8;9;
MS;1;17;18;
MS;2;7;7;
MS;2;14;15;
MS;2;5;8;
MS;2;7;7;
MS;3;14;17;
MS;1;6;9;
MS;1;7;9;
MS;5;10;11;
MS;1;15;15;
MS;2;11;12;
MS;5;10;10;
MS;5;10;11;
