school;Mjob;G1;G2;Decision
GP;3;0;11;1
GP;3;9;11;1
GP;3;12;13;1
GP;4;14;14;1
GP;2;11;13;1
GP;5;12;12;1
GP;2;13;12;1
GP;2;10;13;1
GP;5;15;16;1
GP;2;12;12;1
GP;1;14;14;1
GP;5;10;12;1
GP;4;12;13;1
GP;1;12;12;1
GP;2;14;14;1
GP;4;17;17;1
GP;5;13;13;1
GP;2;13;14;1
GP;5;8;8;0
GP;4;12;12;1
GP;1;12;13;1
GP;4;11;12;1
GP;1;12;13;1
GP;2;10;10;1
GP;5;10;11;1
GP;5;10;11;1
GP;2;11;12;1
GP;4;11;11;1
GP;5;12;12;1
GP;1;12;11;1
GP;4;10;11;1
GP;5;15;15;1
GP;1;13;14;1
GP;2;13;12;1
GP;2;12;12;1
GP;2;11;11;1
GP;1;14;14;1
GP;2;13;13;1
GP;5;11;12;1
GP;3;14;13;1
GP;2;11;11;1
GP;1;10;11;1
GP;5;14;15;1
GP;5;9;10;1
GP;2;10;11;1
GP;2;10;11;1
GP;2;13;12;1
GP;4;17;17;1
GP;1;11;12;1
GP;5;13;12;1
GP;5;14;13;1
GP;4;16;14;1
GP;4;10;9;1
GP;5;13;12;1
GP;2;13;12;1
GP;2;12;13;1
GP;5;15;14;1
GP;1;15;15;1
GP;2;14;13;1
GP;5;16;15;1
GP;4;17;16;1
GP;5;10;10;1
GP;2;13;13;1
GP;1;14;13;1
GP;5;13;12;1
GP;1;16;15;1
GP;2;11;12;1
GP;5;10;9;1
GP;4;11;10;1
GP;2;15;15;1
GP;2;13;11;1
GP;2;11;9;1
GP;2;13;11;1
GP;2;13;13;1
GP;2;11;11;1
GP;1;11;11;1
GP;1;12;11;1
GP;2;13;13;1
GP;2;9;9;1
GP;3;12;11;1
GP;2;11;11;1
GP;2;10;9;1
GP;5;12;11;1
GP;5;13;12;1
GP;2;13;12;1
GP;5;12;11;1
GP;3;13;11;1
GP;2;15;15;1
GP;5;12;10;1
GP;1;9;9;1
GP;2;9;11;1
GP;5;14;13;1
GP;2;12;13;1
GP;1;13;14;1
GP;5;11;12;1
GP;3;13;13;1
GP;5;9;11;1
GP;2;13;12;1
GP;2;12;13;1
GP;2;12;13;1
GP;5;9;9;0
GP;5;16;16;1
GP;5;12;13;1
GP;5;11;10;1
GP;5;16;16;1
GP;2;10;10;1
GP;2;10;10;1
GP;5;13;14;1
GP;2;12;10;1
GP;4;15;15;1
GP;1;13;14;1
GP;5;11;11;1
GP;3;8;10;1
GP;1;18;17;1
GP;4;10;9;1
GP;1;16;14;1
GP;2;16;15;1
GP;2;14;14;1
GP;2;12;11;1
GP;2;14;13;1
GP;3;14;14;1
GP;5;14;13;1
GP;2;14;12;1
GP;4;12;13;1
GP;2;12;11;1
GP;5;9;9;0
GP;2;10;11;1
GP;3;9;10;1
GP;1;14;14;1
GP;2;13;12;1
GP;5;10;11;1
GP;5;10;9;1
GP;2;11;10;1
GP;3;11;12;1
GP;2;13;12;1
GP;5;15;13;1
GP;3;9;9;0
GP;2;13;11;1
GP;3;12;11;1
GP;5;13;14;1
GP;3;10;9;1
GP;3;14;13;1
GP;5;11;11;1
GP;2;12;11;1
GP;2;12;11;1
GP;2;9;9;1
GP;5;10;10;1
GP;1;13;14;1
GP;2;8;9;1
GP;1;9;11;1
GP;5;9;8;0
GP;5;15;13;1
GP;5;12;11;1
GP;1;13;13;1
GP;3;10;11;1
GP;2;9;7;0
GP;2;12;12;1
GP;3;11;10;1
GP;4;11;11;1
GP;3;13;12;1
GP;3;11;11;1
GP;1;9;9;1
GP;5;12;11;1
GP;2;11;9;1
GP;3;9;10;1
GP;5;13;13;1
GP;5;11;9;1
GP;2;13;13;1
GP;3;7;8;0
GP;2;9;8;1
GP;3;11;10;1
GP;3;12;10;1
GP;2;10;10;1
GP;4;9;8;0
GP;3;8;8;0
GP;2;7;6;1
GP;2;8;9;1
GP;3;9;8;0
GP;2;8;8;1
GP;5;8;7;0
